Name,Lifetime,Nationality,Notable as,Orientation,Sex,Era,Name.old
 Scheua Christian Scheu �y,1966,German,Writer,G,M,AD,"Scheuß, ChristianChristian Scheuß"
 Schick Gerhard,1972,German,Politician,G,M,AD,"Schick, GerhardGerhard Schick"
 Schindler Jr Allen R,1969-1992,American,U.S. Naval Seaman,G,M,AD,"Schindler, Jr., Allen R.Allen R. Schindler, Jr."
 Schippers Thomas,1930-1977,American,"Composer, conductor",G,M,AD,"Schippers, ThomasThomas Schippers"
 Schlesinger John,1926-2003,English,Film director,G,M,AD,"Schlesinger, JohnJohn Schlesinger"
 Schneebaum Tobias,1922-2005,American,Artist,G,M,AD,"Schneebaum, TobiasTobias Schneebaum"
 Schneider Fred,1951,American,Rock musician (The B-52's),G,M,AD,"Schneider, FredFred Schneider"
 Schneider Maria,1952,French,Actor,B,F,AD,"Schneider, MariaMaria Schneider"
 Schoppmann Claudia,1958,German,Historian and writer,L,F,AD,"Schoppmann, ClaudiaClaudia Schoppmann"
 Schrader Rand,1945-1993,American,Activist and judge,G,M,AD,"Schrader, RandRand Schrader"
 Schrag Ariel,1979,American,Cartoonist,L,F,AD,"Schrag, ArielAriel Schrag"
 Schragenheim Felice,1922-1944,German,Resistance fighter,L,F,AD,"Schragenheim, FeliceFelice Schragenheim"
 Schroeter Werner,1945,German,Film director,G,M,AD,"Schroeter, WernerWerner Schroeter"
 Schulman Sarah,1958,American,"Writer, activist",L,F,AD,"Schulman, SarahSarah Schulman"
 Schumacher Joel,1939,American,Filmmaker,G,M,AD,"Schumacher, JoelJoel Schumacher"
 Schuyler James,1923-1991,American,Poet,G,M,AD,"Schuyler, JamesJames Schuyler"
 Schwarzenbach Annemarie,1908-1942,Swiss,Photographer,L,F,AD,"Schwarzenbach, AnnemarieAnnemarie Schwarzenbach"
 Sciortino Carl,,American,Politician,G,M,AD,"Sciortino, CarlCarl Sciortino"
 Scoppettone Sandra,1936,American,Writer,L,F,AD,"Scoppettone, SandraSandra Scoppettone"
 Scorsone Ernesto,1952,American,Politician,G,M,AD,"Scorsone, ErnestoErnesto Scorsone"
 Scott Andrew,1976,Irish,Actor,G,M,AD,"Scott, AndrewAndrew Scott"
 Scott Ann,1965,French,Writer,B,F,AD,"Scott, AnnAnn Scott"
 Scott Avy,1981,American,Porn star,B,F,AD,"Scott, AvyAvy Scott"
 Scott Craig,1962,Canadian,Politician,G,M,AD,"Scott, CraigCraig Scott"
 Scott Daniel,,Australian,Actor,G,M,AD,"Scott, DanielDaniel Scott"
 Scott Daniel,1963,American,Writer,G,M,AD,"Scott, DanielDaniel Scott"
 Scott Hillary,1983,American,Porn star,B,F,AD,"Scott, HillaryHillary Scott"
 Scott Ian,1934-2006,Canadian,Attorney General of Ontario,G,M,AD,"Scott, IanIan Scott"
 Scott John,1934-2006,Fijian,Red Cross Director,G,M,AD,"Scott, JohnJohn Scott"
 Scott Melissa,1960,American,Writer,L,F,AD,"Scott, MelissaMelissa Scott"
 Scott Patrick,1921-2014,Irish,Artist,G,M,AD,"Scott, PatrickPatrick Scott"
 Scott Morgan Peter,1958,English / American,Social scientist and strategic thinker,G,M,AD,"Scott-Morgan, PeterPeter Scott-Morgan"
 Sechrest Jason,1979,American,"Writer, actor",G,M,AD,"Sechrest, JasonJason Sechrest"
 Secter David,1979,Canadian,Film director,G,M,AD,"Secter, DavidDavid Secter"
 Sedaris David,1956,American,"Writer, radio personality",G,M,AD,"Sedaris, DavidDavid Sedaris"
 Seel Pierre,1957-1993,French,Writer,G,M,AD,"Seel, PierrePierre Seel"
 Seger Caroline,1985,Swedish,Footballer,L,F,AD,"Seger, CarolineCaroline Seger"
 Seguerra Aiza,1983,Filipina,"Pop musician, actor",L,F,AD,"Seguerra, AizaAiza Seguerra"
 Sellars Stephanie,,American,"Writer, actor",B,F,AD,"Sellars, StephanieStephanie Sellars"
 Sells Dan Gillespie,1979,English,Rock musician (The Feeling),G,M,AD,"Sells, Dan GillespieDan Gillespie Sells"
 Selvadurai Shyam,1965,Sri Lankan- Canadian,Writer,G,M,AD,"Selvadurai, ShyamShyam Selvadurai"
 Sendak Maurice,1928-2012,American,"Author, illustrator",G,M,AD,"Sendak, MauriceMaurice Sendak"
 Serano Julia,,American,"Writer, spoken word performer",L,F,AD,"Serano, JuliaJulia Serano"
 Sessions John,1953,Scottish,Actor,G,M,AD,"Sessions, JohnJohn Sessions"
 Sessums Kevin,1956,American,Writer,G,M,AD,"Sessums, KevinKevin Sessums"
 Seth Vikram,1952,Indian,"Poet, writer",G,M,AD,"Seth, VikramVikram Seth"
 Sexton Tommy,1957-1993,Canadian,"Comedian, actor",G,M,AD,"Sexton, TommyTommy Sexton"
 Shadix Glenn,1952-2010,American,Actor,G,M,AD,"Shadix, GlennGlenn Shadix"
 Shafer Dirk,1962,American,"Model, actor",G,M,AD,"Shafer, DirkDirk Shafer"
 Hussain Shah,1538-1599,Indian/Pakistani,One of the most prominent Punjabi poets in history.,G,M,AD,"Hussain, ShahShah Hussain"
 Shaiman Marc,1959,American,"Composer, lyricist",G,M,AD,"Shaiman, MarcMarc Shaiman"
 Shamaya Otep,1979,American,Rock musician (Otep),L,F,AD,"Shamaya, OtepOtep Shamaya"
 Shankman Adam,1964,American,Director,G,M,AD,"Shankman, AdamAdam Shankman"
 Shannon Charles Haslewood,1865-1937,English,Artist,G,M,AD,"Shannon, Charles HaslewoodCharles Haslewood Shannon"
 Shannon Lori,1938-1984,American,Actor,L,F,AD,"Shannon, LoriLori Shannon"
 Shanower Eric,1963,American,"Comics artist, writer",G,M,AD,"Shanower, EricEric Shanower"
 Shaowanasai Michael,1964,Thai,"Artist, actor",G,M,AD,"Shaowanasai, MichaelMichael Shaowanasai"
 Sharkey Kevin,1960,Irish,"Artist, activist",B,M,AD,"Sharkey, KevinKevin Sharkey"
 Sharma Parvez,,Indian American,Film director,G,M,AD,"Sharma, ParvezParvez Sharma"
 Sharp Maia,,American,Singer-songwriter,L,F,AD,"Sharp, MaiaMaia Sharp"
 Sharpe Penny,1970,Australian,Politician,L,F,AD,"Sharpe, PennyPenny Sharpe"
 Shaw Aiden,1966,English,"Porn star, writer",G,M,AD,"Shaw, AidenAiden Shaw"
 Shaw Fiona,1955,Irish,Actor,L,F,AD,"Shaw, FionaFiona Shaw"
 Shaw I Robert Gould,1898-1970,English,Socialite,G,M,AD,"Shaw III, Robert GouldRobert Gould Shaw III"
 Shear Linda,1948,American,"Rock musician, activist",L,F,AD,"Shear, LindaLinda Shear"
 Shears Jake,1978,American,Pop musician (Scissor Sisters),G,M,AD,"Shears, JakeJake Shears"
 Sheffield Jeremy,1966,English,Actor,G,M,AD,"Sheffield, JeremyJeremy Sheffield"
 Shelley George,1993,English,"Radio presenter, actor, singer-songwriter (former Union J member)",B,M,AD,"Shelley, GeorgeGeorge Shelley"
 Shelley Pete,1955,English,Rock musician (Buzzcocks),B,M,AD,"Shelley, PetePete Shelley"
 Sheng Jeff,1980,American,Photographer,G,M,AD,"Sheng, JeffJeff Sheng"
 Shepard Matthew,1976-1998,American,"Student, murder victim",G,M,AD,"Shepard, MatthewMatthew Shepard"
 Sheppard Simon,,American,Writer,G,M,AD,"Sheppard, SimonSimon Sheppard"
 Sher Antony,1949,English,Actor,G,M,AD,"Sher, AntonyAntony Sher"
 Sherlock David,,English,Writer,G,M,AD,"Sherlock, DavidDavid Sherlock"
 Sherman Delia,1951,American,Writer,L,F,AD,"Sherman, DeliaDelia Sherman"
 Sherman Martin,1939,American,"Playwright, director",G,M,AD,"Sherman, MartinMartin Sherman"
 Michael Shernoff,1951-2008,American,Specialist in the mental health concerns of gay men,G,M,AD,Michael Shernoff
 Sherrin Ned,1931-2007,English,TV and radio personality,G,M,AD,"Sherrin, NedNed Sherrin"
 Shields John,1944,American,Mayor,G,M,AD,"Shields, JohnJohn Shields"
 Shilts Randy,1951-1994,American,"Journalist, writer, AIDS activist",G,M,AD,"Shilts, RandyRandy Shilts"
 Shimizu Jenny,1967,American,"Model, actor",L,F,AD,"Shimizu, JennyJenny Shimizu"
 Shores Del,1957,American,"Writer, director, actor",G,M,AD,"Shores, DelDel Shores"
 Short Hassard,1877-1956,British / American,Theatre director,G,M,AD,"Short, HassardHassard Short"
 Shute Nerina,1908-2004,English,"Writer, journalist",B,F,AD,"Shute, NerinaNerina Shute"
 Sia,1975,Australian,Pop singer,B,F,AD,Sia
 Sidovska Janis Sidovsk �,1968,Czech,"Television producer, manager",G,M,AD,"Sidovský, JanisJanis Sidovský"
 Sieber Christopher,1969,American,Actor,G,M,AD,"Sieber, ChristopherChristopher Sieber"
 Siffre Labi,1945,English,"Poet, songwriter, singer",G,M,AD,"Siffre, LabiLabi Siffre"
 Signorile Michelangelo,1960,American,"Writer, LGBT rights activist",G,M,AD,"Signorile, MichelangeloMichelangelo Signorile"
 Siguradottir Johanna,1942,Icelandic,"Politician, first lesbian Prime Minister",L,F,AD,"Sigurðardóttir, JóhannaJóhanna Sigurðardóttir"
 Siken Richard,,American,"Writer, poet",G,M,AD,"Siken, RichardRichard Siken"
 Sikov Ed,1957,American,Writer,G,M,AD,"Sikov, EdEd Sikov"
 Siksay Bill,1955,Canadian,Politician,G,M,AD,"Siksay, BillBill Siksay"
 Silva Mario,1966,Canadian,Politician,G,M,AD,"Silva, MarioMario Silva"
 Silveira Lucas,1979,Canadian,Rock musician,G,M,AD,"Silveira, LucasLucas Silveira"
 Silvera Makeda,1955,Canadian,Writer,G,M,AD,"Silvera, MakedaMakeda Silvera"
 Silverstein Charles,1935,American,Writer,G,M,AD,"Silverstein, CharlesCharles Silverstein"
 Simcox Edith,1844-1901,English,Writer,L,F,AD,"Simcox, EdithEdith Simcox"
 Simien Justin,1983,American,"Film director, screenwriter",G,M,AD,"Simien, JustinJustin Simien"
 Simmons Jaason,1970,Australian,Actor,G,M,AD,"Simmons, JaasonJaason Simmons"
 Simmons Julian,1952,Irish,Television presenter,G,M,AD,"Simmons, JulianJulian Simmons"
 Simmons Roy,1956,American,American football player,G,M,AD,"Simmons, RoyRoy Simmons"
 Sims Mary Woo,,Canadian,"Politician, activist",L,F,AD,"Sims, Mary-WooMary-Woo Sims"
 Simons Nicholas,,Canadian,Politician,G,M,AD,"Simons, NicholasNicholas Simons"
 Sinclaire Nikki,1968,English,Politician,L,F,AD,"Sinclaire, NikkiNikki Sinclaire"
 Sinema Kyrsten,1976,American,Politician,B,F,AD,"Sinema, KyrstenKyrsten Sinema"
 Singer Bryan,1965,American,Film director,G,M,AD,"Singer, BryanBryan Singer"
 Singer Gary,,Australian,Politician,G,M,AD,"Singer, GaryGary Singer"
 Singer Winnaretta,1865-1943,American,Patron,L,F,AD,"Singer, WinnarettaWinnaretta Singer"
 Sinha Paul,1970,English,"GP, Comedian, Broadcaster Quiz player",G,M,AD,"Sinha, PaulPaul Sinha"
 Sinz Ricky,1980,American,Pornographic actor,B,M,AD,"Sinz, RickyRicky Sinz"
 Sipple Oliver,1941-1989,American,Veteran,G,M,AD,"Sipple, OliverOliver Sipple"
 Sipprell Clara,1885-1975,Canadian,Photographer,L,F,AD,"Sipprell, ClaraClara Sipprell"
 Siriano Christian,1985,American,"Fashion designer, Reality television participant, winner on Project Runway",G,M,AD,"Siriano, ChristianChristian Siriano"
 Sivan Troye,1995,Australian,"YouTube personality, singer, songwriter",G,M,AD,"Sivan, TroyeTroye Sivan"
 Stephen Skinner,,American,Politician,G ,M,AD,Stephen Skinner
 Skjellerup Blake,1985,New Zealand,Short track speed skater,G,M,AD,"Skjellerup, BlakeBlake Skjellerup"
 Sledd William,1983,American,Internet personality,G,M,AD,"Sledd, WilliamWilliam Sledd"
 Smart Jeffrey,1921,Australian,Artist,G,M,AD,"Smart, JeffreyJeffrey Smart"
 Smet Pascal,1967,Belgian,Politician,G,M,AD,"Smet, PascalPascal Smet"
 Smith Anna Nicole,1967-2007,American,Model,B,F,AD,"Smith, Anna NicoleAnna Nicole Smith"
 Smith Barbara,1946,American,"Lesbian feminist, writer",L,F,AD,"Smith, BarbaraBarbara Smith"
 Smith Bessie,1892-1937,American,Blues musician,B,F,AD,"Smith, BessieBessie Smith"
 Smith of Finsbury Chris Baron,1951,English,Politician,G,M,AD,"Smith of Finsbury, Chris Smith, BaronChris Smith, Baron Smith of Finsbury"
 Smith Coral,1979,American,Actor,L,F,AD,"Smith, CoralCoral Smith"
 Smith Debbie,,English,Musician,L,F,AD,"Smith, DebbieDebbie Smith"
 Smith Graham David,1937,American,"Artist, writer",G,M,AD,"Smith, Graham DavidGraham David Smith"
 Smith Iain,1960,Scottish,Politician,G,M,AD,"Smith, IainIain Smith"
 Smith Jack,1932-1989,American,"Film director, actor",G,M,AD,"Smith, JackJack Smith"
 Smith Jerry,1943-1987,American,Football player,G,M,AD,"Smith, JerryJerry Smith"
 Smith Liz,1923,American,Gossip columnist,B,F,AD,"Smith, LizLiz Smith"
 Smith Margaret,1961,Scottish,Politician,L,F,AD,"Smith, MargaretMargaret Smith"
 Smith Michael V,,Canadian,"Writer, filmmaker",G,M,AD,"Smith, Michael V.Michael V. Smith"
 Smith Neil,,Canadian,Writer,G,M,AD,"Smith, NeilNeil Smith"
 Smith Sam,1992,English,Singer,G,M,AD,"Smith, SamSam Smith"
 Smith Warren Allen,1921,American,Writer,G,M,AD,"Smith, Warren AllenWarren Allen Smith"
 Smith Willi,1948-1987,American,Fashion designer,G,M,AD,"Smith, WilliWilli Smith"
 Smitherman George,1963,Canadian,Politician,G,M,AD,"Smitherman, GeorgeGeorge Smitherman"
 Smoke Benjamin,1960-1999,American,Musician,G,M,AD,"Smoke, BenjaminBenjamin Smoke"
 Snow Jack,1907-1956,American,"Writer of science fiction, fantasy and horror",G,M,AD,"Snow, JackJack Snow"
 Snyder Joan,1940,American,Painter,B,F,AD,"Snyder, JoanJoan Snyder"
 Socarides Richard,1954,American,"Politician, businessman",G,M,AD,"Socarides, RichardRichard Socarides"
 Solanas Valerie,1936-1988,American,"Radical feminist, writer",L,F,AD,"Solanas, ValerieValerie Solanas"
 Soldier Michael,1967,American,Porn star,G,M,AD,"Soldier, MichaelMichael Soldier"
 Solidor Suzy,1900-1983,French,"Singer, actor",L,F,AD,"Solidor, SuzySuzy Solidor"
 Solmonese Joe,1965,American,LGBT rights activist,G,M,AD,"Solmonese, JoeJoe Solmonese"
 Solomon Andrew,1963,American,Writer,G,M,AD,"Solomon, AndrewAndrew Solomon"
 Solomon Simeon,1840-1905,English,Painter,G,M,AD,"Solomon, SimeonSimeon Solomon"
 Somerset Lord Arthur,1851-1926,English,Aristocrat,G,M,AD,"Somerset, Lord ArthurLord Arthur Somerset"
 Somerville Jason,1987,American,Poker Player,G,M,AD,"Somerville, JasonJason Somerville"
 Somerville Jimmy,1961,Scottish,Pop musician,G,M,AD,"Somerville, JimmyJimmy Somerville"
 Somov Konstantin,1869-1939,Russian,"Illustrator, painter",G,M,AD,"Somov, KonstantinKonstantin Somov"
 Sondheim Stephen,1930,American,Musical theater and film composer,G,M,AD,"Sondheim, StephenStephen Sondheim"
 Sontag Susan,1933-2004,American,Writer,L,F,AD,"Sontag, SusanSusan Sontag"
 Sorrondeguy Martin,,American,"Rock musician, filmmaker",G,M,AD,"Sorrondeguy, MartinMartin Sorrondeguy"
 Southworth Azariah,1987,American,Christian TV host,G,M,AD,"Southworth, AzariahAzariah Southworth"
 Spagnoletti Robert,,American,"Attorney General, lawyer",G,M,AD,"Spagnoletti, RobertRobert Spagnoletti"
 Spain Nancy,1917-1964,English,"Journalist, broadcaster",L,F,AD,"Spain, NancyNancy Spain"
 Span Anna,1971,English,Porn director,B,F,AD,"Span, AnnaAnna Span"
 Sparro Sam,1982,Australian,"Pop singer, songwriter and producer",G,M,AD,"Sparro, SamSam Sparro"
 Spear Allan,1937-2008,American,Politician,G,M,AD,"Spear, AllanAllan Spear"
 Spearman Doug,1962,American,Actor,G,M,AD,"Spearman, DougDoug Spearman"
 Spector Cheryl,,American,LGBT rights activist,L,F,AD,"Spector, CherylCheryl Spector"
 Spencer Colin,1933,English,"Writer, journalist, broadcaster",G,M,AD,"Spencer, ColinColin Spencer"
 Spencer Tom,1948,English,Politician,G,M,AD,"Spencer, TomTom Spencer"
 Spencer Devlin Muffin,1954,American,Professional golfer,L,F,AD,"Spencer-Devlin, MuffinMuffin Spencer-Devlin"
 Spender Stephen,1909-1995,English,Writer,G,M,AD,"Spender, StephenStephen Spender"
 Sperling Andrea,,American,Film producer,L,F,AD,"Sperling, AndreaAndrea Sperling"
 Spicer Jack,1925-1965,American,Poet,G,M,AD,"Spicer, JackJack Spicer"
 Spinella Stephen,1956,American,Actor,G,M,AD,"Spinella, StephenStephen Spinella"
 Spofford Edward,,American,Professor,G,M,AD,"Spofford, EdwardEdward Spofford"
 Spolsky Joel,1965,American,"Software engineer, writer",G,M,AD,"Spolsky, JoelJoel Spolsky"
 Spooner Casey,,American,Pop musician,G,M,AD,"Spooner, CaseyCasey Spooner"
 Spratling William,1900-1967,American-born Mexican,"Silversmith, artist",G,M,AD,"Spratling, WilliamWilliam Spratling"
 Sprecher Lorrie,1960,American,"Writer, rock musician",L,F,AD,"Sprecher, LorrieLorrie Sprecher"
 Springfield Dusty,1939-1999,English,Pop musician,B,F,AD,"Springfield, DustyDusty Springfield"
 Sprinkle Annie,1954,American,"Porn star, writer, performance artist",B,F,AD,"Sprinkle, AnnieAnnie Sprinkle"
 Squires Ron,1951-1993,American,Politician,G,M,AD,"Squires, RonRon Squires"
 St Clement Pam,1942,English,Actor,B,F,AD,"St. Clement, PamPam St. Clement"
 Stadler Matthew,1959,American,Writer,G,M,AD,"Stadler, MatthewMatthew Stadler"
 Stadlober Robert,1982,Austrian,"Actor, rock musician",G,M,AD,"Stadlober, RobertRobert Stadlober"
 Staples A Latham,1977,American,LGBT activist,G,M,AD,"Staples, A. LathamA. Latham Staples"
 Star Darren,1961,American,Television and film producer,G,M,AD,"Star, DarrenDarren Star"
 Star Jeffree,1986,American,"Model, make-up artist, singer-songwriter",G,M,AD,"Star, JeffreeJeffree Star"
 Stark Freda,1910-1999,New Zealander,Exotic dancer,L,F,AD,"Stark, FredaFreda Stark"
 Starkey David,1945,English,Historian,G,M,AD,"Starkey, DavidDavid Starkey"
 Starr Ellen Gates,1859-1940,American,Social reformer,L,F,AD,"Starr, Ellen GatesEllen Gates Starr"
 Starr Garrison,1975,American,Rock musician,G,M,AD,"Starr, GarrisonGarrison Starr"
 Stasey Caitlin,1990,Australian,Actor,B,F,AD,"Stasey, CaitlinCaitlin Stasey"
 Staub Jonny,1979,Canadian,Radio/television personality,G,M,AD,"Staub, JonnyJonny Staub"
 Steadman Pat,1964,American,Politician,G,M,AD,"Steadman, PatPat Steadman"
 Steckel Jan,1962,American,Writer,B,M,AD,"Steckel, JanJan Steckel"
 Steemans Dre,1954-2009,Belgian,TV and radio host,G,M,AD,"Steemans, DréDré Steemans"
 Stefanics Liz,1950,American,Politician,L,F,AD,"Stefanics, LizLiz Stefanics"
 Stefano Joey,1968-1994,American,Porn star,G,M,AD,"Stefano, JoeyJoey Stefano"
 Steffan Joseph,1964,American,"Lawyer, activist",G,M,AD,"Steffan, JosephJoseph Steffan"
 Stein Darren,1971,American,"Film director, screenwriter",G,M,AD,"Stein, DarrenDarren Stein"
 Stein Gertrude,1874-1946,American,Writer,L,F,AD,"Stein, GertrudeGertrude Stein"
 Stenberg Amandla,1998,American,Actress,B,F,AD,"Stenberg, AmandlaAmandla Stenberg"
 Stenbock Eric,1858-1895,German,"Poet, writer",G,M,AD,"Stenbock, EricEric Stenbock"
 Stephane Nicole,1923-2007,French,Actor,L,F,AD,"Stéphane, NicoleNicole Stéphane"
 Stephens Helen,1918-1994,American,Athlete. Double Olympic champion,G,M,AD,"Stephens, HelenHelen Stephens"
 Stephens Ian,-1996,Canadian,"Poet, spoken word artist, journalist",G,M,AD,"Stephens, IanIan Stephens"
 Stern Sandy,,American,Film producer,G,M,AD,"Stern, SandySandy Stern"
 Stevens Marsha,1952,American,Contemporary Christian musician,L,F,AD,"Stevens, MarshaMarsha Stevens"
 Stevens Noreen,1962,Canadian,Comic artist,L,F,AD,"Stevens, NoreenNoreen Stevens"
 Stevenson Tim,,Canadian,Politician,G,M,AD,"Stevenson, TimTim Stevenson"
 Stewart James B,1952,American,"Lawyer, writer",G,M,AD,"Stewart, James B.James B. Stewart"
 Stiers David Ogden,1942,American,Actor,G,M,AD,"Stiers, David OgdenDavid Ogden Stiers"
 Stimpson Andrew,1980,Scottish,HIV patient,G,M,AD,"Stimpson, AndrewAndrew Stimpson"
 Stipe Michael,1960,American,"Rock musician, film producer",B,M,AD,"Stipe, MichaelMichael Stipe"
 Stoll James,1936-1994,American,Clergy,G,M,AD,"Stoll, JamesJames Stoll"
 Stolz Kim,1983,American,Model,L,F,AD,"Stolz, KimKim Stolz"
 Stone Randy,1958-2007,American,"Actor, casting director",G,M,AD,"Stone, RandyRandy Stone"
 Stoney Casey,1982,British,Soccer player,L,F,AD,"Stoney, CaseyCasey Stoney"
 Stork Jim,1966,American,Politician,G,M,AD,"Stork, JimJim Stork"
 Strachey Lytton,1880-1932,English,"Writer, critic",G,M,AD,"Strachey, LyttonLytton Strachey"
 Straker Jeffery,,Canadian,Musician,G,M,AD,"Straker, JefferyJeffery Straker"
 Strange Steve,1959,Welsh,Pop singer,B,M,AD,"Strange, SteveSteve Strange"
 Strayhorn Billy,1915-1967,American,"Jazz composer, arranger and musician",G,M,AD,"Strayhorn, BillyBilly Strayhorn"
 Street Maryan,1955,New Zealander,Politician,L,F,AD,"Street, MaryanMaryan Street"
 Strickland Keith,1953,American,Rock musician (The B-52's),G,M,AD,"Strickland, KeithKeith Strickland"
 Stuart Jason,1969,American,Actor,G,M,AD,"Stuart, JasonJason Stuart"
 Stubbs Rennae,1971,Australian,Tennis player,L,F,AD,"Stubbs, RennaeRennae Stubbs"
 Studds Gerry,1937-2006,American,Politician,G,M,AD,"Studds, GerryGerry Studds"
 Sulla Lucius Cornelius,138-78,Roman,"General, consul, dictator",G,M,BC,"Sulla, Lucius CorneliusLucius Cornelius Sulla"
 Sullivan Andrew,1963,English,Journalist,G,M,AD,"Sullivan, AndrewAndrew Sullivan"
 Sullivan Kathleen,1955,American,Professor of Law,L,F,AD,"Sullivan, KathleenKathleen Sullivan"
 Summer India,1975,American,Porn star,B,F,AD,"Summer, IndiaIndia Summer"
 Summerbell Richard,1956,Canadian,"Mycologist, LGBT rights activist (1970's-80's)",G,M,AD,"Summerbell, RichardRichard Summerbell"
 Summerskill Ben,1961,English,LGBT rights activist,G,M,AD,"Summerskill, BenBen Summerskill"
 Sundhage Pia,1960,Swedish,Football player and coach,L,F,AD,"Sundhage, PiaPia Sundhage"
 Suresha Ron,,American,Writer,G,M,AD,"Suresha, RonRon Suresha"
 Svigals Alicia,1963,American,Musician,L,F,AD,"Svigals, AliciaAlicia Svigals"
 Swartz Oscar,1959,Swedish,"Writer, entrepreneur",G,M,AD,"Swartz, OscarOscar Swartz"
 Sweeney Terry,1960,American,"Actor, screenwriter",G,M,AD,"Sweeney, TerryTerry Sweeney"
 Swenson May,1913-1989,American,Poet,L,F,AD,"Swenson, MayMay Swenson"
 Swift Ember,,Canadian,Folk-rock musician,L,F,AD,"Swift, EmberEmber Swift"
 Swoopes Sheryl,1971,American,Basketball player,L,F,AD,"Swoopes, SherylSheryl Swoopes"
 Sycamore Matt Bernstein,,American,Writer,G,M,AD,"Sycamore, Matt BernsteinMatt Bernstein Sycamore"
 Symonds John Addington,1840-1893,English,"Poet, literary critic",G,M,AD,"Symonds, John AddingtonJohn Addington Symonds"
 Symons Scott,1933,Canadian,Writer,G,M,AD,"Symons, ScottScott Symons"
 Sykes Wanda,1964,American,"Stand-up comedian, actress",L,F,AD,"Sykes, WandaWanda Sykes"
 Szetey Gabor,1968,Hungarian,Politician,G,M,AD,"Szetey, GáborGábor Szetey"
 Szot Paulo,1969,Brazilian,Actor,G,M,AD,"Szot, PauloPaulo Szot"
 Szubanski Magda,1961,Australian,"Actress, comedian",L,F,AD,"Szubanski, MagdaMagda Szubanski"
 Szymanowski Karol,1882-1937,Polish,Classical composer and musician,G,M,AD,"Szymanowski, KarolKarol Szymanowski"
 Tait Blyth,1961,New Zealander,Olympic athlete,G,M,AD,"Tait, BlythBlyth Tait"
 Tagame Gengoroh,1964,Japanese,manga artist,G,M,AD,"Tagame, GengorohGengoroh Tagame"
 Takei George,1937,American,Actor,G,M,AD,"Takei, GeorgeGeorge Takei"
 Talley Andre Leon,1949,American,Editor,G,M,AD,"Talley, André LeonAndré Leon Talley"
 Tammet Daniel,1979,English,"Memorist, autistic savant",G,M,AD,"Tammet, DanielDaniel Tammet"
 Tams Theo,1975,Canadian,Pop singer,G,M,AD,"Tams, TheoTheo Tams"
 Tan Mika,1977,American,Porn star,B,F,AD,"Tan, MikaMika Tan"
 Tartaglia John,1978,American,"Puppeteer, actor",G,M,AD,"Tartaglia, JohnJohn Tartaglia"
 Tatchell Peter,1952,Australian-born British,"LGBT rights activist, politician",G,M,AD,"Tatchell, PeterPeter Tatchell"
 Taylor Cecil,1929,American,Jazz musician,G,M,AD,"Taylor, CecilCecil Taylor"
 Taylor Holland,1943,American,Actor,L,F,AD,"Taylor, HollandHolland Taylor"
 Taylor Laurette,1884-1946,American,Actor,L,F,AD,"Taylor, LauretteLaurette Taylor"
 Taylor Paul,1930,American,"Dancer, choreographer",G,M,AD,"Taylor, PaulPaul Taylor"
 Taylor Rashad,1981,American,Politician,G,M,AD,"Taylor, RashadRashad Taylor"
 Taylor Rip,1934,American,"Comedian, actor",G,M,AD,"Taylor, RipRip Taylor"
 Taylor Robert V,1959,South African,Clergy,G,M,AD,"Taylor, Robert V.Robert V. Taylor"
 Taylor Robin Lord,1978,American,Actor,G,M,AD,"Taylor, Robin LordRobin Lord Taylor"
 Taylor Valerie,1913-1997,American,"Writer, poet, activist",L,F,AD,"Taylor, ValerieValerie Taylor"
 Tchaikovsky Modest Ilyich,1850-1916,Russian,"Dramatist, librettist, translator",G,M,AD,"Tchaikovsky, Modest IlyichModest Ilyich Tchaikovsky"
 Tchaikovsky Pyotr Ilyich,1840-1893,Russian,Classical composer,G,M,AD,"Tchaikovsky, Pyotr IlyichPyotr Ilyich Tchaikovsky"
 Tea Michelle,1971,American,"Writer, poet",L,F,AD,"Tea, MichelleMichelle Tea"
 Teal Clare,1973,English,Jazz musician,L,F,AD,"Teal, ClareClare Teal"
 Temple Alice,�,English,Pop musician,L,F,AD,"Temple, AliceAlice Temple"
 Tennant Neil,1954,English,Pop musician (Pet Shop Boys),G,M,AD,"Tennant, NeilNeil Tennant"
 Tennant Stephen,1906-1987,English,Aristocrat,G,M,AD,"Tennant, StephenStephen Tennant"
 Tewksbury Mark,1968,Canadian,Swimmer,G,M,AD,"Tewksbury, MarkMark Tewksbury"
 Thate Carole,1971,Dutch,Olympic athlete,L,F,AD,"Thate, CaroleCarole Thate"
 Thetford William,1923-1988,American,Psychologist,G,M,AD,"Thetford, WilliamWilliam Thetford"
 Thibaudet Jean Yves,1961,French,Classical musician,G,M,AD,"Thibaudet, Jean-YvesJean-Yves Thibaudet"
 Thiel Peter,1967,American,"Entrepreneur, venture capitalist",G,M,AD,"Thiel, PeterPeter Thiel"
 Thirlby Olivia,1986,American,Actor,B,F,AD,"Thirlby, OliviaOlivia Thirlby"
 Thomas Gareth,1974,Welsh,Rugby player,G,M,AD,"Thomas, GarethGareth Thomas"
 Thomas Michael Tilson,1944,American,"Classical conductor, composer and musician",G,M,AD,"Thomas, Michael TilsonMichael Tilson Thomas"
 Thompson Dunstan,1918-1975,American,Poet,G,M,AD,"Thompson, DunstanDunstan Thompson"
