Name,Lifetime,Nationality,Notable as,Orientation,Sex,Era,Name.old
 Edward Douglas Scott Montagu 3rd Baron of Beaulieu,1926-2015,British,"Peer of the Realm, Conservative politician, founder of National Motor Museum",B,M,AD,"Edward Douglas-Scott-Montagu, 3rd Baron Montagu of Beaulieu"
 Binkie Beaumont,1908-1973,British,"Theatre manager, producer",G,M,AD,Binkie Beaumont
 Simone de Beauvoir,1908-1986,French,"Author, philosopher",B,F,AD,Simone de Beauvoir
 Alison Bechdel,1960,American,Cartoonist,L,F,AD,Alison Bechdel
 Martha Beck,1962,American,Sociologist and life coach,L,F,AD,Martha Beck
 Volker Beck,1960,German,Politician,G,M,AD,Volker Beck
 Albrecht Becker,1906-2002,German,Photographer,G,M,AD,Albrecht Becker
 Antoine Bedard,1978,Canadian,Musician,G,M,AD,Antoine Bédard
 Sybille Bedford,1911-2006,British,Writer,B,F,AD,Sybille Bedford
 Lucius Beebe,1902-1966,American,"Photographer, railroad historian",G,M,AD,Lucius Beebe
 Vicky Beeching,1979,British,Musician and religious commentator,L,F,AD,Vicky Beeching
 Eve Beglarian,1958,American,Contemporary classical music performer-composer,L,F,AD,Eve Beglarian
 Chad Beguelin,1969,American,Playwright and lyricist,G,M,AD,Chad Beguelin
 Brendan Behan,1923-1964,Irish,"Author, poet, playwright",G,M,AD,Brendan Behan
 Aphra Behn,1640-1689,English,Writer,B,F,AD,Aphra Behn
 Frieda Belinfante,1904-1995,Dutch,"Classical musician and conductor, member of the Dutch resistance",L,F,AD,Frieda Belinfante
 Andy Bell,1964,British,Pop musician (Erasure),G,M,AD,Andy Bell
 Arthur Bell,1939-1984,American,Journalist (Village Voice); founding member of the Gay Activists Alliance,G,M,AD,Arthur Bell
 Simone Bell,�,American,Politician,L,F,AD,Simone Bell
 Jason Bellini,1975,American,Journalist,G,M,AD,Jason Bellini
 Paul Bellini,1963,Canadian,Comedy writer,G,M,AD,Paul Bellini
 Linda Bellos,1950,British,"Black and LGBT activist, former London politician",L,F,AD,Linda Bellos
 Sotiria Bellou,1921-1997,Greek,Rebetiko musician,L,F,AD,Sotiria Bellou
 Birgitt Bender,1956,German,Politician,L,F,AD,Birgitt Bender
 Bruce Benderson,1946,American,Writer,G,M,AD,Bruce Benderson
 George Benjamin,1960,British,Composer,G,M,AD,George Benjamin
 Alan Bennett,1934,British,"Author, actor",G,M,AD,Alan Bennett
