"Name","Lifetime","Nationality","Notable.as","Orientation","Sex","Era","Name.old","Partners","Link"
" Andrews Robert","1895-1976","British","Actor","G","M","AD","Andrews, RobertRobert Andrews","0","https://en.wikipedia.org/wiki/Robert_Andrews"
" Andrzejewski Jerzy","1909-1983","Polish","Author","G","M","AD","Andrzejewski, JerzyJerzy Andrzejewski","0","https://en.wikipedia.org/wiki/Jerzy_Andrzejewski"
" Anger Kenneth","1927","American","Filmmaker, author","G","M","AD","Anger, KennethKenneth Anger","0","https://en.wikipedia.org/wiki/Kenneth_Anger"
" Angerer Nadine","1978","German","Football (soccer) player","B","F","AD","Angerer, NadineNadine Angerer","0","https://en.wikipedia.org/wiki/Nadine_Angerer"
" Angguish Dallas","1968","Australian","Writer","G","M","AD","Angguish, DallasDallas Angguish","0","https://en.wikipedia.org/wiki/Dallas_Angguish"
" Annan Alyson","1973","Australian","Field hockey gold medalist","L","F","AD","Annan, AlysonAlyson Annan","0","https://en.wikipedia.org/wiki/Alyson_Annan"
" Ant","1967","American","Actor, comedian","B","M","AD","Ant","0","https://en.wikipedia.org/wiki/Ant"
" Anthony Katharine","1877-1965","American","Biographer","L","F","AD","Anthony, KatharineKatharine Anthony","0","https://en.wikipedia.org/wiki/Katharine_Anthony"
" Anthony Trey","1974","Canadian","Comedian, playwright","G","M","AD","Anthony, TreyTrey Anthony","0","https://en.wikipedia.org/wiki/Trey_Anthony"
" Antin Steve","1956","American","Actor, screenwriter","G","M","AD","Antin, SteveSteve Antin","0","https://en.wikipedia.org/wiki/Steve_Antin"
" Antinous","110-130","Greek","Beloved of Roman Emperor Hadrian","G","M","AD","Antinous","0","https://en.wikipedia.org/wiki/Antinous"
" Antonio Nickie","1955","American","Politician","L","F","AD","Antonio, NickieNickie Antonio","Jean Kosmac","https://en.wikipedia.org/wiki/Nickie_Antonio"
" Antonio Salvatore","1976","Canadian","Actor, writer","G","M","AD","Antonio, SalvatoreSalvatore Antonio","0","https://en.wikipedia.org/wiki/Salvatore_Antonio"
" Antoniou Laura","1963","American","Author","L","F","AD","Antoniou, LauraLaura Antoniou","0","https://en.wikipedia.org/wiki/Laura_Antoniou"
" Anzalda Gloria E Anzald √a","1942-2004","American","Writer","L","F","AD","Anzald√∫a, Gloria E.Gloria E. Anzald√∫a","0","0"
" Appiah Kwame Anthony","1954","Ghanaian","Philosopher, writer","G","M","AD","Appiah, Kwame AnthonyKwame Anthony Appiah","Partner †††††† Henry Finder","https://en.wikipedia.org/wiki/Kwame_Anthony_Appiah"
" Appleton Alistair","1970","British","Television presenter","G","M","AD","Appleton, AlistairAlistair Appleton","0","https://en.wikipedia.org/wiki/Alistair_Appleton"
" Aptheker Bettina","1944","American","Activist, academic","L","F","AD","Aptheker, BettinaBettina Aptheker","Jack Kurzweil (1965-1978), Kate Miller","https://en.wikipedia.org/wiki/Bettina_Aptheker"
" Apukhtin Aleksey","1840-1893","Russian","Poet","G","M","AD","Apukhtin, AlekseyAleksey Apukhtin","0","https://en.wikipedia.org/wiki/Aleksey_Apukhtin"
" Aragon Louis","1897-1982","French","Poet, novelist","B","M","AD","Aragon, LouisLouis Aragon","0","https://en.wikipedia.org/wiki/Louis_Aragon"
" Araki Gregg","1959","American","Filmmaker","G","M","AD","Araki, GreggGregg Araki","0","https://en.wikipedia.org/wiki/Gregg_Araki"
" Aravosis John","1963","American","LGBT rights activist","G","M","AD","Aravosis, JohnJohn Aravosis","0","https://en.wikipedia.org/wiki/John_Aravosis"
" Archer Bert","1968","Canadian","Writer","G","M","AD","Archer, BertBert Archer","0","https://en.wikipedia.org/wiki/Bert_Archer"
" Arenas Reinaldo","1943-1990","Cuban","Writer","G","M","AD","Arenas, ReinaldoReinaldo Arenas","0","https://en.wikipedia.org/wiki/Reinaldo_Arenas"
" Aretino Pietro","1492-1556","Italian","Writer, satirist","G","M","AD","Aretino, PietroPietro Aretino","0","https://en.wikipedia.org/wiki/Pietro_Aretino"
" Arias Joey","1949","American","Performance artist, drag performer","G","M","AD","Arias, JoeyJoey Arias","0","https://en.wikipedia.org/wiki/Joey_Arias"
" Armenante Jillian","1968","American","Actress, writer","L","F","AD","Armenante, JillianJillian Armenante","Alice Dodd","https://en.wikipedia.org/wiki/Jillian_Armenante"
" Armstrong Billie Joe","1972","American","Rock musician (Green Day)","B","M","AD","Armstrong, Billie JoeBillie Joe Armstrong","0","https://en.wikipedia.org/wiki/Billie_Joe_Armstrong"
" Arndt Chip","1966","American","Reality TV show contestant, LGBT rights activist","G","M","AD","Arndt, ChipChip Arndt","Reichen Lehmkuhl (1999-2003)","https://en.wikipedia.org/wiki/Chip_Arndt"
" Arndt Judith","1976","German","Cyclist","L","F","AD","Arndt, JudithJudith Arndt","0","https://en.wikipedia.org/wiki/Judith_Arndt"
" Arnold Alice","1962","British","Ex BBC Radio 4 Newsreader","L","F","AD","Arnold, AliceAlice Arnold","Clare Balding (m.†2015)","https://en.wikipedia.org/wiki/Alice_Arnold"
" Arnold Mary Ellicott","1876-1968","American","Social activist, writer","L","F","AD","Arnold, Mary EllicottMary Ellicott Arnold","Mabel Reed[1]","https://en.wikipedia.org/wiki/Mary_Ellicott_Arnold"
" Arnold Robert","1982","New Zealander","Pop musician","G","M","AD","Arnold, RobertRobert Arnold","0","https://en.wikipedia.org/wiki/Arnold_Robert"
" Arnott Jake","1961","British","Author","G","M","AD","Arnott, JakeJake Arnott","0","https://en.wikipedia.org/wiki/Jake_Arnott"
" Aron Jean Paul","1925-1988","French","Writer","G","M","AD","Aron, Jean-PaulJean-Paul Aron","0","https://en.wikipedia.org/wiki/Jean_Paul_Aron"
