Name,Lifetime,Nationality,Notable.as,Orientation,Sex,Era,Name.old,Partners,Link
 Luisa Isabel aarez de Toledo 21st Duchess of Medina Sidonia,1936-2008,Spanish,21st Duchess of Medina Sidonia,L,F,AD,"Alvarez, Luisa !Luisa Isabel Álvarez de Toledo, 21st Duchess of Medina Sidonia",NA,0
 Amaechi John,1970,British,"Basketball player, broadcaster",G,M,AD,"Amaechi, JohnJohn Amaechi",NA,https://en.wikipedia.org/wiki/John_Amaechi
 Amedure Scott,1963-1995,American,"""Jenny Jones Murder"" victim",G,M,AD,"Amedure, ScottScott Amedure",NA,https://en.wikipedia.org/wiki/Scott_Amedure
 Amenabar Alejandro,1972,Spanish,Filmmaker,G,M,AD,"Amenábar, AlejandroAlejandro Amenábar",NA,https://en.wikipedia.org/wiki/Alejandro_Amenabar
 Ames David,1983,British,Actor,G,M,AD,"Ames, DavidDavid Ames",NA,https://en.wikipedia.org/wiki/David_Ames
 Ammiano Tom,1941,American,"San Francisco City Supervisor, comedian",G,M,AD,"Ammiano, TomTom Ammiano",NA,https://en.wikipedia.org/wiki/Tom_Ammiano
 Amos Stephen K,,British,Comedian,G,M,AD,"Amos, Stephen K.Stephen K. Amos",NA,https://en.wikipedia.org/wiki/Stephen_K_Amos
 Amstell Simon,1979,British,"Comedian, television presenter",G,M,AD,"Amstell, SimonSimon Amstell",NA,https://en.wikipedia.org/wiki/Simon_Amstell
 Andelson Sheldon,1931-1988,American,Politician,G,M,AD,"Andelson, SheldonSheldon Andelson",NA,https://en.wikipedia.org/wiki/Sheldon_Andelson
 Anderson Brett,1967,British,Rock musician (Suede),B,M,AD,"Anderson, BrettBrett Anderson",NA,https://en.wikipedia.org/wiki/Brett_Anderson
 Anderson Gordon Stewart,1958-1991,Canadian,Writer,G,M,AD,"Anderson, Gordon StewartGordon Stewart Anderson",NA,https://en.wikipedia.org/wiki/Gordon_Stewart_Anderson
 Anderson Jane,1954,American,"Actress, playwright, director",L,F,AD,"Anderson, JaneJane Anderson",NA,https://en.wikipedia.org/wiki/Jane_Anderson
 Anderson Lindsay,1923-1994,British,Film director,G,M,AD,"Anderson, LindsayLindsay Anderson",NA,https://en.wikipedia.org/wiki/Lindsay_Anderson
 Anderson Ruth,1928,American,Composer,L,F,AD,"Anderson, RuthRuth Anderson",NA,https://en.wikipedia.org/wiki/Ruth_Anderson
 Andrade Mario de,1893-1945,Brazilian,Writer,G,M,AD,"Andrade, Mário deMário de Andrade",NA,https://en.wikipedia.org/wiki/Mario_de_Andrade
 Andrews Harry,1911-1989,British,Actor,G,M,AD,"Andrews, HarryHarry Andrews",NA,https://en.wikipedia.org/wiki/Harry_Andrews
 Andrews Robert,1895-1976,British,Actor,G,M,AD,"Andrews, RobertRobert Andrews",NA,https://en.wikipedia.org/wiki/Robert_Andrews
 Andrzejewski Jerzy,1909-1983,Polish,Author,G,M,AD,"Andrzejewski, JerzyJerzy Andrzejewski",NA,https://en.wikipedia.org/wiki/Jerzy_Andrzejewski
 Anger Kenneth,1927,American,"Filmmaker, author",G,M,AD,"Anger, KennethKenneth Anger",NA,https://en.wikipedia.org/wiki/Kenneth_Anger
 Angerer Nadine,1978,German,Football (soccer) player,B,F,AD,"Angerer, NadineNadine Angerer",NA,https://en.wikipedia.org/wiki/Nadine_Angerer
 Angguish Dallas,1968,Australian,Writer,G,M,AD,"Angguish, DallasDallas Angguish",NA,https://en.wikipedia.org/wiki/Dallas_Angguish
 Annan Alyson,1973,Australian,Field hockey gold medalist,L,F,AD,"Annan, AlysonAlyson Annan",NA,https://en.wikipedia.org/wiki/Alyson_Annan
 Ant,1967,American,"Actor, comedian",B,M,AD,Ant,NA,https://en.wikipedia.org/wiki/Ant
 Anthony Katharine,1877-1965,American,Biographer,L,F,AD,"Anthony, KatharineKatharine Anthony",NA,https://en.wikipedia.org/wiki/Katharine_Anthony
 Anthony Trey,1974,Canadian,"Comedian, playwright",G,M,AD,"Anthony, TreyTrey Anthony",NA,https://en.wikipedia.org/wiki/Trey_Anthony
 Antin Steve,1956,American,"Actor, screenwriter",G,M,AD,"Antin, SteveSteve Antin",NA,https://en.wikipedia.org/wiki/Steve_Antin
 Antinous,110-130,Greek,Beloved of Roman Emperor Hadrian,G,M,AD,Antinous,NA,https://en.wikipedia.org/wiki/Antinous
 Antonio Nickie,1955,American,Politician,L,F,AD,"Antonio, NickieNickie Antonio",NA,https://en.wikipedia.org/wiki/Nickie_Antonio
 Antonio Salvatore,1976,Canadian,"Actor, writer",G,M,AD,"Antonio, SalvatoreSalvatore Antonio",NA,https://en.wikipedia.org/wiki/Salvatore_Antonio
 Antoniou Laura,1963,American,Author,L,F,AD,"Antoniou, LauraLaura Antoniou",NA,https://en.wikipedia.org/wiki/Laura_Antoniou
 Anzalda Gloria E Anzald �a,1942-2004,American,Writer,L,F,AD,"Anzaldúa, Gloria E.Gloria E. Anzaldúa",NA,0
 Appiah Kwame Anthony,1954,Ghanaian,"Philosopher, writer",G,M,AD,"Appiah, Kwame AnthonyKwame Anthony Appiah",NA,https://en.wikipedia.org/wiki/Kwame_Anthony_Appiah
 Appleton Alistair,1970,British,Television presenter,G,M,AD,"Appleton, AlistairAlistair Appleton",NA,https://en.wikipedia.org/wiki/Alistair_Appleton
 Aptheker Bettina,1944,American,"Activist, academic",L,F,AD,"Aptheker, BettinaBettina Aptheker",NA,https://en.wikipedia.org/wiki/Bettina_Aptheker
 Apukhtin Aleksey,1840-1893,Russian,Poet,G,M,AD,"Apukhtin, AlekseyAleksey Apukhtin",NA,https://en.wikipedia.org/wiki/Aleksey_Apukhtin
 Aragon Louis,1897-1982,French,"Poet, novelist",B,M,AD,"Aragon, LouisLouis Aragon",NA,https://en.wikipedia.org/wiki/Louis_Aragon
 Araki Gregg,1959,American,Filmmaker,G,M,AD,"Araki, GreggGregg Araki",NA,https://en.wikipedia.org/wiki/Gregg_Araki
 Aravosis John,1963,American,LGBT rights activist,G,M,AD,"Aravosis, JohnJohn Aravosis",NA,https://en.wikipedia.org/wiki/John_Aravosis
 Archer Bert,1968,Canadian,Writer,G,M,AD,"Archer, BertBert Archer",NA,https://en.wikipedia.org/wiki/Bert_Archer
 Arenas Reinaldo,1943-1990,Cuban,Writer,G,M,AD,"Arenas, ReinaldoReinaldo Arenas",NA,https://en.wikipedia.org/wiki/Reinaldo_Arenas
 Aretino Pietro,1492-1556,Italian,"Writer, satirist",G,M,AD,"Aretino, PietroPietro Aretino",NA,https://en.wikipedia.org/wiki/Pietro_Aretino
 Arias Joey,1949,American,"Performance artist, drag performer",G,M,AD,"Arias, JoeyJoey Arias",NA,https://en.wikipedia.org/wiki/Joey_Arias
 Armenante Jillian,1968,American,"Actress, writer",L,F,AD,"Armenante, JillianJillian Armenante",NA,https://en.wikipedia.org/wiki/Jillian_Armenante
 Armstrong Billie Joe,1972,American,Rock musician (Green Day),B,M,AD,"Armstrong, Billie JoeBillie Joe Armstrong",NA,https://en.wikipedia.org/wiki/Billie_Joe_Armstrong
 Arndt Chip,1966,American,"Reality TV show contestant, LGBT rights activist",G,M,AD,"Arndt, ChipChip Arndt",NA,https://en.wikipedia.org/wiki/Chip_Arndt
 Arndt Judith,1976,German,Cyclist,L,F,AD,"Arndt, JudithJudith Arndt",NA,https://en.wikipedia.org/wiki/Judith_Arndt
 Arnold Alice,1962,British,Ex BBC Radio 4 Newsreader,L,F,AD,"Arnold, AliceAlice Arnold",NA,https://en.wikipedia.org/wiki/Alice_Arnold
 Arnold Mary Ellicott,1876-1968,American,"Social activist, writer",L,F,AD,"Arnold, Mary EllicottMary Ellicott Arnold",NA,https://en.wikipedia.org/wiki/Mary_Ellicott_Arnold
 Arnold Robert,1982,New Zealander,Pop musician,G,M,AD,"Arnold, RobertRobert Arnold",NA,https://en.wikipedia.org/wiki/Arnold_Robert
 Arnott Jake,1961,British,Author,G,M,AD,"Arnott, JakeJake Arnott",NA,https://en.wikipedia.org/wiki/Jake_Arnott
 Aron Jean Paul,1925-1988,French,Writer,G,M,AD,"Aron, Jean-PaulJean-Paul Aron",NA,https://en.wikipedia.org/wiki/Jean_Paul_Aron
 Arondeus Willem,1894-1943,Dutch,Painter and member of the Dutch resistance,G,M,AD,"Arondeus, WillemWillem Arondeus",NA,https://en.wikipedia.org/wiki/Willem_Arondeus
 Arrowood John S,1956,American,Judge,G,M,AD,"Arrowood, John S.John S. Arrowood",NA,0
 Arrowsmith Pat,1930,British,"Writer, peace activist",L,F,AD,"Arrowsmith, PatPat Arrowsmith",NA,https://en.wikipedia.org/wiki/Pat_Arrowsmith
 Arthur Robert,1925-2008,American,Actor,G,M,AD,"Arthur, RobertRobert Arthur",NA,https://en.wikipedia.org/wiki/Arthur_Robert
 Arvin Newton,1900-1963,American,"Writer, academic",G,M,AD,"Arvin, NewtonNewton Arvin",NA,https://en.wikipedia.org/wiki/Newton_Arvin
 Arzner Dorothy,1897-1979,American,Film director,L,F,AD,"Arzner, DorothyDorothy Arzner",NA,https://en.wikipedia.org/wiki/Dorothy_Arzner
 Ashbery John,1927,American,Poet,G,M,AD,"Ashbery, JohnJohn Ashbery",NA,https://en.wikipedia.org/wiki/John_Ashbery
